code_segment,nom_segment,type_route,longueur_km,nombre_voies,capacite_vehicules_h,lat_debut,lon_debut,lat_fin,lon_fin,lat_centre,lon_centre,est_axe_critique,source_donnee,date_extraction
OSM_5807526005_732154225_0,Segment sans nom,Avenue principale,0.031028860131634337,2,3000,4.0075687,9.7480044,4.0072935,9.7479581,4.007431100001286,9.747981249994048,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807526005_4560605705_0,Segment sans nom,Avenue principale,0.006280719638542293,2,3000,4.0075687,9.7480044,4.0076244,9.7480138,4.007596550000052,9.748009099999756,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807526005_2380194479_0,Segment sans nom,Rue secondaire,0.11426981664252059,2,1600,4.0075687,9.7480044,4.0076855,9.7490199,4.007593885139424,9.748516054151885,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682762_1091706220_0,Axe Lourd Douala-Edea,Voie rapide,0.007125924312089573,2,4000,4.0252462,9.6924561,4.025309,9.6924689,4.025277600000078,9.692462499999657,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682762_5807682765_0,Avenue du Géneral de Gaulle (N°1.051),Avenue principale,0.046876395623669305,2,3000,4.0252462,9.6924561,4.025052,9.6928312,4.025149100017907,9.69264365002495,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682763_5807682762_0,Avenue du Géneral de Gaulle (N°1.051),Avenue principale,0.021671188497056945,2,3000,4.025336,9.6922827,4.0252462,9.6924561,4.025291100003826,9.692369400005333,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682763_5765893221_0,Axe lourd Douala-Edea,Voie rapide,0.025009408311360014,2,4000,4.025336,9.6922827,4.0251319,9.6921885,4.025232907555372,9.692237765021376,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682765_5765893210_0,Avenue du Géneral de Gaulle (N°1.051),Avenue principale,0.020216078241377736,2,3000,4.025052,9.6928312,4.0249883,9.6930009,4.025016064509116,9.6929143833627,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682766_1091706220_0,Avenue du Géneral de Gaulle (N°1.051),Avenue principale,0.029713862064214395,2,3000,4.0251883,9.6927079,4.025309,9.6924689,4.025248650007306,9.692588400009928,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807682766_5765893214_0,Segment sans nom,Rue secondaire,0.04898699317393914,2,1600,4.0251883,9.6927079,4.0255838,9.6925241,4.025379776428333,9.692605497656853,False,OpenStreetMap,2026-05-30T20:07:09.399149
